,0,0.5,2,4
3222.9372,0.00426,0.00273,0.001,0.0015
3221.00846,0.00424,0.00271,0.00098,0.00149
3219.07971,0.00423,0.00269,0.00095,0.00143
3217.15096,0.00421,0.00267,0.00088,0.00135
3215.22221,0.00418,0.00265,0.00082,0.00133
3213.29347,0.00419,0.00265,0.00084,0.0014
3211.36472,0.00422,0.00266,0.00088,0.00144
3209.43597,0.00422,0.00266,0.00088,0.00142
3207.50722,0.00421,0.00267,0.00089,0.0014
3205.57848,0.00423,0.00271,0.00093,0.00142
3203.64973,0.00425,0.00275,0.00097,0.00144
3201.72098,0.00424,0.00275,0.00099,0.00144
3199.79223,0.00421,0.00269,0.00095,0.00143
3197.86349,0.00419,0.00263,0.00091,0.00143
3195.93474,0.00419,0.0026,0.00093,0.00147
3194.00599,0.00422,0.00264,0.00098,0.0015
3192.07724,0.00427,0.00273,0.00102,0.00153
3190.1485,0.00432,0.00282,0.00104,0.00156
3188.21975,0.00433,0.00281,0.00103,0.00156
3186.291,0.0043,0.00273,0.00097,0.00151
3184.36225,0.00425,0.00267,0.00092,0.00147
3182.43351,0.00419,0.00266,0.00089,0.00146
3180.50476,0.00415,0.00264,0.00087,0.00144
3178.57601,0.00417,0.00261,0.00087,0.00145
3176.64726,0.00424,0.0026,0.00091,0.00148
3174.71852,0.0043,0.00259,0.00094,0.0015
3172.78977,0.00433,0.00258,0.00097,0.00151
3170.86102,0.00431,0.00257,0.00098,0.00153
3168.93227,0.00428,0.00256,0.00099,0.00156
3167.00353,0.00427,0.00256,0.001,0.00155
3165.07478,0.00427,0.00257,0.00098,0.00153
3163.14603,0.00425,0.00258,0.00098,0.00153
3161.21728,0.00425,0.00262,0.00101,0.00153
3159.28853,0.00428,0.00265,0.00105,0.00151
3157.35979,0.0043,0.00265,0.00103,0.00148
3155.43104,0.0043,0.00261,0.00097,0.00146
3153.50229,0.00429,0.00255,0.0009,0.00145
3151.57354,0.00428,0.0025,0.00088,0.00145
3149.6448,0.00426,0.00249,0.0009,0.00147
3147.71605,0.00424,0.0025,0.00093,0.00148
3145.7873,0.0042,0.00249,0.00095,0.00145
3143.85855,0.00414,0.00245,0.00093,0.00141
3141.92981,0.00416,0.00244,0.00093,0.00142
3140.00106,0.00422,0.00247,0.00094,0.00147
3138.07231,0.00423,0.00246,0.00091,0.00147
3136.14356,0.00417,0.0024,0.00086,0.00145
3134.21482,0.00413,0.00236,0.00082,0.00142
3132.28607,0.00414,0.00235,0.00083,0.00142
3130.35732,0.00419,0.00238,0.00087,0.00143
3128.42857,0.00423,0.00243,0.00091,0.00147
3126.49983,0.00425,0.00249,0.00094,0.00154
3124.57108,0.00424,0.0025,0.00098,0.00159
3122.64233,0.00424,0.00248,0.001,0.00159
3120.71358,0.00428,0.00251,0.00099,0.00156
3118.78484,0.00432,0.00253,0.00098,0.00158
3116.85609,0.00435,0.00251,0.00099,0.00163
3114.92734,0.00438,0.0025,0.00101,0.00165
3112.99859,0.00444,0.00254,0.00104,0.00165
3111.06985,0.00451,0.00258,0.00106,0.00167
3109.1411,0.00457,0.00261,0.00111,0.00171
3107.21235,0.00462,0.00266,0.00118,0.00176
3105.2836,0.0047,0.00273,0.00126,0.00186
3103.35485,0.00477,0.0028,0.0013,0.00195
3101.42611,0.00479,0.00283,0.0013,0.00198
3099.49736,0.0048,0.00284,0.0013,0.00198
3097.56861,0.00482,0.00286,0.00132,0.002
3095.63986,0.00487,0.0029,0.00137,0.00204
3093.71112,0.0049,0.00292,0.0014,0.00207
3091.78237,0.00489,0.00287,0.00137,0.00203
3089.85362,0.00487,0.00283,0.00132,0.00197
3087.92487,0.00485,0.00283,0.00129,0.00195
3085.99613,0.00481,0.00283,0.00127,0.00194
3084.06738,0.00477,0.00277,0.00124,0.0019
3082.13863,0.00477,0.00274,0.00124,0.00189
3080.20988,0.00482,0.00279,0.00129,0.00194
3078.28114,0.00495,0.00289,0.00135,0.00204
3076.35239,0.00511,0.00302,0.00142,0.00218
3074.42364,0.00523,0.00313,0.00149,0.0023
3072.49489,0.00533,0.00321,0.00158,0.00241
3070.56615,0.00541,0.00326,0.00165,0.00248
3068.6374,0.00546,0.00328,0.00168,0.00251
3066.70865,0.00548,0.00327,0.0017,0.0025
3064.7799,0.00548,0.00325,0.00174,0.00249
3062.85116,0.00546,0.00323,0.00176,0.00247
3060.92241,0.00538,0.0032,0.00171,0.00242
3058.99366,0.00529,0.00313,0.00162,0.00233
3057.06491,0.00525,0.00304,0.00155,0.00227
3055.13617,0.00525,0.003,0.00154,0.00226
3053.20742,0.00523,0.00301,0.00154,0.00225
3051.27867,0.00515,0.00299,0.00152,0.0022
3049.34992,0.00505,0.00291,0.00147,0.00213
3047.42118,0.005,0.00286,0.00141,0.00207
3045.49243,0.00502,0.00286,0.00138,0.00205
3043.56368,0.00504,0.0029,0.00139,0.00207
3041.63493,0.00508,0.00295,0.00144,0.00213
3039.70618,0.00518,0.00299,0.00148,0.0022
3037.77744,0.00524,0.003,0.0015,0.00223
3035.84869,0.00521,0.00296,0.0015,0.00218
3033.91994,0.0051,0.00285,0.00144,0.00207
3031.99119,0.00496,0.00269,0.00129,0.0019
3030.06245,0.00483,0.00255,0.00113,0.00174
3028.1337,0.0047,0.00243,0.001,0.0016
3026.20495,0.00453,0.00227,0.00084,0.00142
3024.2762,0.00438,0.0021,0.00066,0.00121
3022.34746,0.00432,0.00197,0.00051,0.00102
3020.41871,0.00428,0.00185,0.00036,0.00086
3018.48996,0.00422,0.00172,0.00017,0.00067
3016.56121,0.00416,0.00158,-3.00E-05,0.00044
3014.63247,0.00413,0.00143,-2.20E-04,0.00024
3012.70372,0.00413,0.00128,-3.90E-04,0.0001
3010.77497,0.00416,0.00118,-5.10E-04,-2.00E-05
3008.84622,0.00418,0.00114,-5.50E-04,-1.00E-04
